iter	Passed	Remaining
0	9	9615
1	15	7972
2	20	6945
3	25	6292
4	27	5546
5	32	5407
6	37	5264
7	41	5157
8	45	5054
9	50	4972
10	55	4996
11	60	4942
12	63	4847
13	67	4777
14	71	4680
15	75	4613
16	77	4489
17	80	4415
18	83	4317
19	86	4243
20	89	4156
21	91	4085
22	94	4027
23	97	3970
24	100	3919
25	103	3873
26	107	3860
27	110	3841
28	113	3807
29	116	3768
30	119	3734
31	122	3695
32	125	3669
33	128	3643
34	130	3609
35	133	3586
36	136	3554
37	139	3534
38	142	3516
39	146	3511
40	149	3490
41	152	3473
42	155	3456
43	158	3442
44	162	3439
45	165	3439
46	169	3433
47	173	3432
48	176	3425
49	180	3427
50	183	3422
51	187	3425
52	192	3432
53	195	3422
54	198	3406
55	201	3392
56	204	3385
57	207	3377
58	211	3368
59	214	3366
60	218	3358
61	221	3344
62	223	3328
63	226	3318
64	230	3319
65	233	3305
66	236	3295
67	239	3287
68	243	3286
69	246	3278
70	250	3277
71	254	3276
72	258	3277
73	261	3267
74	264	3259
75	268	3262
76	272	3265
77	276	3267
78	279	3259
79	282	3253
80	287	3256
81	290	3256
82	294	3257
83	299	3266
84	303	3270
85	308	3279
86	314	3295
87	318	3298
88	323	3306
89	327	3306
90	330	3303
91	334	3305
92	338	3301
93	342	3303
94	347	3309
95	351	3313
96	355	3312
97	360	3317
98	365	3322
99	370	3330
100	373	3328
101	377	3327
102	383	3341
103	388	3350
104	392	3349
105	398	3358
106	403	3364
107	409	3378
108	415	3392
109	419	3394
110	424	3403
111	429	3407
112	435	3418
113	440	3423
114	445	3428
115	450	3433
116	455	3438
117	462	3455
118	466	3456
119	471	3458
120	476	3463
121	481	3465
122	486	3469
123	493	3483
124	498	3486
125	502	3483
126	505	3476
127	508	3466
128	511	3456
129	515	3446
130	517	3435
131	521	3428
132	524	3416
133	527	3410
134	530	3398
135	533	3388
136	536	3377
137	538	3366
138	542	3357
139	544	3346
140	548	3342
141	551	3331
142	554	3322
143	557	3311
144	560	3304
145	563	3294
146	566	3285
147	569	3276
148	572	3267
149	575	3259
150	577	3249
151	581	3242
152	584	3235
153	587	3228
154	591	3222
155	594	3216
156	597	3210
157	601	3207
158	605	3201
159	608	3195
160	611	3188
161	615	3182
162	618	3175
163	621	3166
164	624	3158
165	627	3154
166	630	3146
167	634	3141
168	637	3133
169	640	3128
170	643	3121
171	647	3116
172	650	3109
173	653	3103
174	656	3096
175	660	3092
176	664	3090
177	667	3084
178	671	3082
179	675	3075
180	679	3073
181	681	3064
182	685	3058
183	688	3051
184	692	3050
185	695	3042
186	698	3036
187	701	3029
188	704	3023
189	707	3016
190	710	3011
191	714	3004
192	716	2997
193	720	2991
194	722	2984
195	726	2978
196	729	2973
197	732	2967
198	737	2968
199	740	2962
200	743	2956
201	746	2949
202	750	2946
203	753	2941
204	757	2936
205	760	2930
206	763	2923
207	766	2918
208	769	2912
209	772	2906
210	773	2893
211	776	2887
212	780	2882
213	783	2876
214	785	2869
215	788	2862
216	791	2855
217	794	2848
218	797	2842
219	800	2836
220	803	2831
221	805	2824
222	809	2820
223	812	2813
224	814	2806
225	817	2799
226	820	2792
227	822	2786
228	825	2780
229	828	2774
230	831	2767
231	834	2761
232	837	2756
233	840	2750
234	843	2744
235	845	2737
236	848	2730
237	850	2724
238	853	2717
239	856	2711
240	858	2705
241	861	2698
242	864	2692
243	866	2685
244	869	2680
245	872	2675
246	875	2669
247	878	2663
248	881	2658
249	885	2655
250	888	2650
251	890	2643
252	893	2637
253	896	2632
254	898	2626
255	902	2622
256	905	2617
257	908	2611
258	910	2606
259	913	2600
260	916	2594
261	919	2589
262	922	2583
263	924	2577
264	927	2571
265	930	2567
266	933	2561
267	935	2556
268	939	2551
269	941	2546
270	944	2540
271	946	2534
272	949	2529
273	952	2523
274	955	2517
275	957	2511
276	960	2506
277	963	2501
278	965	2495
279	968	2490
280	970	2484
281	973	2479
282	976	2474
283	979	2469
284	982	2464
285	985	2459
